"metric_name","method","split","population","sample_size","source_table","source_code","value","repeated_locations","whether_repeated_values_agree","status","correction_required"
"strongest overall policy","always_0pct","held-out test","HIGH_RISK_B","60","results/tables/final_heldout_baseline_ladder.csv","src/final_test_baseline_ladder.py","always_0pct","README.md; START_HERE.md; docs/01_project_and_research_design.md; docs/04_results.md; docs/04_results.md; docs/04_results.md; docs/05_conclusions_and_limitations.md; docs/consolidation_integrity_check.md; results/final_summary.csv; results/tables/final_heldout_baseline_ladder.csv; results/tables/final_profit_waste_pareto_frontier.csv","YES","PASS","None; value retained from source table."
"strongest learned policy","balanced_recovered_ppo","held-out test","HIGH_RISK_B","60","results/tables/final_heldout_baseline_ladder.csv","src/final_test_baseline_ladder.py","balanced_recovered_ppo","README.md; START_HERE.md; docs/04_results.md; docs/consolidation_integrity_check.md; results/final_summary.csv; results/tables/final_heldout_baseline_ladder.csv; results/tables/final_profit_waste_pareto_frontier.csv","YES","PASS","None; value retained from source table."
"DQN mean normalized profit","locked_dqn_ensemble","held-out test","HIGH_RISK_B","60","results/tables/final_heldout_baseline_ladder.csv","src/final_test_baseline_ladder.py","0.425721","README.md; START_HERE.md; docs/01_project_and_research_design.md; docs/04_results.md; results/final_summary.csv; results/tables/dqn_heldout_test_summary.csv; results/tables/final_heldout_baseline_ladder.csv; results/tables/final_profit_waste_pareto_frontier.csv","YES","PASS","None; value retained from source table."
"always_0pct mean normalized profit","always_0pct","held-out test","HIGH_RISK_B","60","results/tables/final_heldout_baseline_ladder.csv","src/final_test_baseline_ladder.py","0.447999","README.md; START_HERE.md; docs/01_project_and_research_design.md; docs/04_results.md; results/final_summary.csv; results/tables/dqn_heldout_test_summary.csv; results/tables/final_heldout_baseline_ladder.csv; results/tables/final_profit_waste_pareto_frontier.csv","YES","PASS","None; value retained from source table."
"DQN paired held-out gain","locked_dqn_ensemble","held-out test","HIGH_RISK_B","60","results/tables/final_heldout_baseline_ladder.csv","src/final_test_baseline_ladder.py","-0.022278","README.md; START_HERE.md; docs/04_results.md; results/final_summary.csv; results/tables/dqn_heldout_test_summary.csv; results/tables/final_heldout_baseline_ladder.csv","YES","PASS","None; value retained from source table."
"DQN paired median gain","locked_dqn_ensemble","held-out test","HIGH_RISK_B","60","results/tables/final_heldout_baseline_ladder.csv","src/final_test_baseline_ladder.py","-0.017321","","YES","PASS","None; value retained from source table."
"DQN bootstrap CI","locked_dqn_ensemble","held-out test","HIGH_RISK_B","60","results/tables/dqn_heldout_test_summary.csv; results/tables/final_heldout_baseline_ladder.csv","src/final_test_baseline_ladder.py","[-0.027486, -0.017319]","","NO before correction; YES after correction","CORRECTED","Corrected final_heldout_baseline_ladder.csv DQN CI from [-0.027435, -0.017247] to locked held-out DQN summary CI [-0.027486, -0.017319]."
"DQN win/tie/loss","locked_dqn_ensemble","held-out test","HIGH_RISK_B","60","results/tables/final_heldout_baseline_ladder.csv","src/final_test_baseline_ladder.py","0.000 / 0.233 / 0.767","README.md; START_HERE.md; results/final_summary.csv; results/tables/dqn_heldout_test_summary.csv; results/tables/final_heldout_baseline_ladder.csv; results/tables/final_profit_waste_pareto_frontier.csv; results/tables/ppo_original_vs_balanced_comparison.csv","YES","PASS","None; value retained from source table."
"held-out HIGH_RISK_B test episodes","all final policies","held-out test","HIGH_RISK_B","60","outputs/manifests/high_risk_b_final_test_manifest.csv","src/final_test_baseline_ladder.py","60","docs/03_environment_and_methods.md; docs/repository_consolidation_audit.md; results/final_summary.csv; results/tables/dqn_heldout_test_summary.csv; results/tables/final_heldout_baseline_ladder.csv; results/tables/final_profit_waste_pareto_frontier.csv; results/tables/ppo_original_vs_balanced_comparison.csv","YES","PASS","None; value retained from source table."
"validation HIGH_RISK_B episodes","DQN validation","validation","HIGH_RISK_B","22","archive/intermediate_tables/dqn_validation_summary.csv","src/dqn_statistical_audit_and_ensemble.py","22","README.md; START_HERE.md; docs/04_results.md; docs/repository_consolidation_audit.md; results/final_summary.csv; results/tables/demand_recovery_summary.csv; results/tables/dqn_heldout_test_summary.csv; results/tables/final_heldout_baseline_ladder.csv; results/tables/final_profit_waste_pareto_frontier.csv; results/tables/ppo_original_vs_balanced_comparison.csv","YES","PASS","None; value retained from source table."
