target,scope,scope_value,n,markdown_levels,pearson,spearman
observed,product_id,104,291,114,0.5068169495611811,0.582424141511998
recovered,product_id,104,291,114,0.47779890813410597,0.5577466635553239
observed,product_id,108,291,44,0.09913372624666655,0.10820872726845579
recovered,product_id,108,291,44,0.018862406138747664,0.01411344336780036
observed,product_id,109,97,20,0.3671721202499189,0.3751398127762263
recovered,product_id,109,97,20,0.3589399842388204,0.3071582489297925
observed,product_id,11,485,100,0.008906748703053463,0.023729679277514553
recovered,product_id,11,485,100,-0.020336783898620984,0.021913400990483285
observed,product_id,116,97,17,-0.14292852601125391,-0.03817455835546143
recovered,product_id,116,97,17,-0.29427177977060365,-0.17969806606376698
observed,product_id,117,97,27,-0.2481307023538114,-0.046795032403037534
recovered,product_id,117,97,27,-0.31509765756179653,-0.13286688054055446
observed,product_id,118,97,12,0.7719973087016464,0.7370694351161874
recovered,product_id,118,97,12,0.8195832962857394,0.7931040340243167
observed,product_id,119,97,55,-0.043431198487248725,0.09787533165424502
recovered,product_id,119,97,55,-0.058412484334479896,0.1262666608703237
observed,product_id,12,97,12,0.548119732660046,0.5516055489729671
recovered,product_id,12,97,12,0.3385669763170337,0.364054368222216
observed,product_id,122,194,54,0.6341013846733872,0.42979183191573683
recovered,product_id,122,194,54,0.6407703771280692,0.42847193929301136
observed,product_id,123,97,11,0.09253639104334105,0.14765258692738165
recovered,product_id,123,97,11,0.05310105267339203,0.13149194778682527
observed,product_id,127,194,24,0.43814327138272147,0.45569977422087343
recovered,product_id,127,194,24,0.5369259115271614,0.5523348193466211
observed,product_id,129,194,5,-0.06682329399385789,-0.032654996508013984
recovered,product_id,129,194,5,-0.06645732591829896,-0.031323901857106984
observed,product_id,132,97,20,0.06874639354922643,0.18758998227516108
recovered,product_id,132,97,20,0.0443887308342071,0.11498898600022665
observed,product_id,133,97,8,0.06931329499198584,0.049877050483887894
recovered,product_id,133,97,8,-0.09037257301987621,-0.09834394768442864
observed,product_id,134,97,10,0.6501546165569337,0.7311194909800474
recovered,product_id,134,97,10,0.6567676128265408,0.5834377982055996
observed,product_id,135,97,12,0.15545275753856777,0.23659782271303506
recovered,product_id,135,97,12,0.16396443719001855,0.2490721072299335
observed,product_id,136,97,32,0.1067125165917787,0.29913061591012163
recovered,product_id,136,97,32,-0.01608212530008048,0.19877777315725398
observed,product_id,138,97,3,0.12867781246553453,0.17654278357150316
recovered,product_id,138,97,3,-0.08382237131489517,-0.06313301912531517
observed,product_id,140,291,67,0.38124734147709927,0.4095711665058968
recovered,product_id,140,291,67,0.54127119546515,0.5258018588226069
observed,product_id,145,194,37,0.4435599278476928,0.41484548113318787
recovered,product_id,145,194,37,0.5438272273436994,0.47920480111377384
observed,product_id,146,97,15,0.4673593068240168,0.39118199910726403
recovered,product_id,146,97,15,0.3749501802695609,0.2775183092853709
observed,product_id,176,194,13,0.5843333493736356,0.5906943242022045
recovered,product_id,176,194,13,0.6621601552744097,0.6759150754281918
observed,product_id,19,291,10,-0.10653454908295051,0.09077271451712324
recovered,product_id,19,291,10,-0.11576541994838865,0.07240141728630681
observed,product_id,190,194,5,-0.012073764446838336,-0.007304717651436128
recovered,product_id,190,194,5,0.07939918747112115,0.07879103197194881
observed,product_id,193,194,12,0.04396373358882167,-0.02756456946376512
recovered,product_id,193,194,12,-0.03759401608824544,-0.0560701303804395
observed,product_id,2,97,3,0.7450525622725411,0.6319343688590159
recovered,product_id,2,97,3,0.6689248343279444,0.5761963671912055
observed,product_id,207,194,25,0.6362440407763884,0.5351801196868688
recovered,product_id,207,194,25,0.5954862057736913,0.47093574584444287
observed,product_id,21,97,20,0.17603861513974697,0.21321941574071815
recovered,product_id,21,97,20,0.18506366826658827,0.22765609078499094
observed,product_id,212,194,11,0.3634337126776373,0.381446794857078
recovered,product_id,212,194,11,0.41805116884670446,0.4141312688392138
observed,product_id,213,97,5,0.1860362802157983,0.22317254460706035
recovered,product_id,213,97,5,0.13028683118640014,0.15105129038849863
observed,product_id,214,97,23,0.30619431405012243,0.3098896485480224
recovered,product_id,214,97,23,0.5431384198836633,0.5926568425611382
observed,product_id,215,194,60,0.4489000661114622,0.5399829766196466
recovered,product_id,215,194,60,0.44809515921021614,0.5214506452022555
observed,product_id,216,97,36,0.33641505297145013,0.3237935907125436
recovered,product_id,216,97,36,0.2608028862681338,0.40237406352734145
observed,product_id,219,97,9,0.0829803621885133,0.11238957146520667
recovered,product_id,219,97,9,-0.0015503453444603169,0.06997545797950479
observed,product_id,220,194,59,0.28238009795809116,0.15394467362509742
recovered,product_id,220,194,59,0.2042931358080051,0.09614364490338417
observed,product_id,222,388,3,0.009855809282229198,0.02623356841020368
recovered,product_id,222,388,3,-0.021721869714408197,-0.023481882070326362
observed,product_id,223,194,37,0.03641238158766179,0.029961749267090127
recovered,product_id,223,194,37,0.018413179426987645,0.03194158023947053
observed,product_id,224,194,20,0.4988217838911607,0.48983445565195616
recovered,product_id,224,194,20,0.503679352585579,0.4871650441505964
observed,product_id,240,97,9,0.3987336884494479,0.3112087667941763
recovered,product_id,240,97,9,0.41942484442359906,0.3534776674564983
observed,product_id,241,97,4,0.6611201989668497,0.5624525794380589
recovered,product_id,241,97,4,0.6311248662281747,0.5985794550907451
observed,product_id,250,291,38,0.4900820748244053,0.3904630388300603
