target,scope,scope_value,n,markdown_levels,pearson,spearman
observed,overall,all,29100,715,0.42847236850245574,0.20623203789399008
observed,promotion_status,0,18566,349,0.6824747821061004,0.20705453791925574
observed,promotion_status,1,10534,635,0.21932908020166175,0.18071940399224337
observed,possible_stockout_status,0,12733,589,0.4806415980725643,0.20126287353137026
observed,possible_stockout_status,1,16367,567,0.3785862926692124,0.2114408918189209
recovered,overall,all,29100,715,0.43682942533183067,0.2086630169158762
recovered,promotion_status,0,18566,349,0.6861738554699628,0.2102904858245807
recovered,promotion_status,1,10534,635,0.26835836097237303,0.21522691716228626
recovered,possible_stockout_status,0,12733,589,0.4806415980725643,0.20126287353137026
recovered,possible_stockout_status,1,16367,567,0.39942899854117797,0.2400495072024844
