target,scope,scope_value,n,mean,median,p25,p75
"('observed',)",overall,all,600,16.065029516740918,10.183715914458903,1.3228624800787459,24.492593554324174
"('recovered',)",overall,all,600,3264.9816386858665,6.302531727386151,1.5845907326897168,16.893535251026655
observed,product_id,102,5,3.2493040607550983,2.973933718469524,1.3540654493596314,4.8007983238129714
observed,product_id,104,15,3.8200245647233997,2.8193812291547498,1.7321136347027701,5.873640584770734
observed,product_id,108,10,23.4646849109153,15.316445278896973,5.044422037241175,41.752591539688105
observed,product_id,109,5,27.31110669673125,25.901478032346354,5.9697964768477,38.458094743892566
observed,product_id,11,25,13.011546802211523,11.462859574599827,0.26752403152026094,23.127777265563008
observed,product_id,119,5,8.334736121720427,4.971836186096112,2.789132719688792,14.931154810376635
observed,product_id,127,10,8.532477606863528,4.146627651104918,1.791837190362272,10.276735272552134
observed,product_id,138,5,29.518650377139465,36.81630485265191,2.1518344387239097,52.52877728892189
observed,product_id,145,5,19.099823342151105,22.274744144415262,5.246234463229227,32.84458111406088
observed,product_id,146,10,23.851009541773625,18.68771779974226,3.34705607114294,44.13005829192391
observed,product_id,18,5,25.915921854538816,15.187739704959524,7.39908741214288,29.439395699574597
observed,product_id,19,10,11.717774676998932,7.445018215975509,0.34431239391977075,18.325502490834715
observed,product_id,190,5,13.08059100033139,9.806164574615162,1.9490486198109114,21.398031766025554
observed,product_id,212,5,11.263174810562933,13.294873973529047,2.4095686740915667,16.266362929110834
observed,product_id,217,5,29.440433137685865,28.899171554787657,4.922832301028857,43.34726749369522
observed,product_id,223,15,12.491752495542768,6.991729812359783,0.2518023671742309,20.188705720419065
observed,product_id,240,5,11.854814834346621,15.703138112654873,-0.05852299052052645,17.32110309466752
observed,product_id,250,5,26.468528358969035,21.550241230689963,4.437781937524621,26.186094403733495
observed,product_id,253,5,14.226734798821258,17.705336987086742,3.9771464674946078,27.812592215949685
observed,product_id,259,10,11.907080303608502,3.240794649090684,1.6793630161027644,23.95619163319621
observed,product_id,295,10,12.101655616783958,8.485410986013765,3.1849643707744124,11.257482404635155
