policy_id,model_family,config_id,seed,checkpoint_timesteps,mean_normalized_profit,raw_accounting_profit,revenue,waste_rate,sell_through,average_markdown,action_entropy,zero_action_share,positive_action_share,dominant_action_share,state_dependence,collapse_flag,accounting_valid,runtime_seconds,paired_episode_count,paired_mean_gain_vs_always_0pct,paired_median_gain,bootstrap_ci_low,bootstrap_ci_high,win_share,tie_share,loss_share,waste_rate_difference,sell_through_difference,worst_decile_paired_gain,maximum_episode_loss,action_0_share,action_1_share,action_2_share,action_3_share,action_4_share,action_5_share
BALANCED__checkpoint_20000,ppo_reference,,,,,,,,,,0.0,,,0.0,FIXED_OR_COLLAPSED,False,True,0.0,0,,,,,,,,,,,,,,,,,
STANDARD_DQN__seed_123__10000,DQN,STANDARD_DQN,123.0,10000,0.15994408115934233,,1.8658274701587254,0.14997638743507957,0.8500236125649203,,1.1858203126288676,0.4444444444444444,0.5555555555555556,0.4444444444444444,STATE_DEPENDENT,False,True,2.175871899991762,22,0.006863012605079743,5.551115123125783e-17,-0.015140852337195577,0.028627156281336445,0.45454545454545453,0.2727272727272727,0.2727272727272727,-0.13280354727514634,0.13280354727514643,-0.08045788602987448,-0.08073123260002785,0.4444444444444444,0.16666666666666666,0.0,0.05555555555555555,0.0,0.3333333333333333
STANDARD_DQN__seed_123__15000,DQN,STANDARD_DQN,123.0,15000,0.1647340294536149,,1.8863811659949703,0.16430037230825636,0.8356996276917436,,1.2276342489482397,0.4722222222222222,0.5277777777777778,0.4722222222222222,STATE_DEPENDENT,False,True,2.0768435998470522,22,0.011652960899352282,0.0017371158058100966,-0.006851521775114864,0.030452260380213033,0.5454545454545454,0.09090909090909091,0.36363636363636365,-0.11847956240196958,0.11847956240196961,-0.0539696616298632,-0.05545414647346558,0.4722222222222222,0.19444444444444445,0.027777777777777776,0.027777777777777776,0.0,0.2777777777777778
STANDARD_DQN__seed_123__20000,DQN,STANDARD_DQN,123.0,20000,0.150187599163445,,1.850337785000651,0.1623920357229572,0.8376079642770428,,1.4790631449203944,0.3611111111111111,0.6388888888888888,0.3611111111111111,STATE_DEPENDENT,False,True,2.429251599998679,22,-0.0028934693908176253,5.551115123125783e-17,-0.024011303815255822,0.018848952449900487,0.45454545454545453,0.09090909090909091,0.45454545454545453,-0.12038789898726873,0.12038789898726875,-0.07063523182327658,-0.08029363584899513,0.3611111111111111,0.1388888888888889,0.1388888888888889,0.08333333333333333,0.0,0.2777777777777778
STANDARD_DQN__seed_123__25000,DQN,STANDARD_DQN,123.0,25000,0.16385329826870287,,1.8811528295948703,0.17004069253437926,0.8299593074656207,,0.9504299460951642,0.6216216216216216,0.3783783783783784,0.6216216216216216,STATE_DEPENDENT,False,True,1.9505073999171145,22,0.010772229714440246,0.0,-0.0068108764735486,0.028299166428512466,0.36363636363636365,0.2727272727272727,0.36363636363636365,-0.11273924217584669,0.11273924217584673,-0.04679557267479147,-0.05100069194265844,0.6216216216216216,0.08108108108108109,0.0,0.02702702702702703,0.0,0.2702702702702703
STANDARD_DQN__seed_123__30000,DQN,STANDARD_DQN,123.0,30000,0.1605025386631407,,1.8734908017363643,0.16547670594710168,0.8345232940528984,,1.2771158644227774,0.5,0.5,0.5,STATE_DEPENDENT,False,True,2.728355600091163,22,0.007421470108878054,0.0,-0.011140769569752167,0.0267434349585485,0.36363636363636365,0.18181818181818182,0.45454545454545453,-0.11730322876312428,0.11730322876312425,-0.06144977421920746,-0.06651544944289145,0.5,0.08333333333333333,0.08333333333333333,0.05555555555555555,0.0,0.2777777777777778
STANDARD_DQN__seed_123__5000,DQN,STANDARD_DQN,123.0,5000,0.16308594211309113,,1.8789599585220207,0.17132963857880268,0.8286703614211973,,1.143068577992872,0.5277777777777778,0.4722222222222222,0.5277777777777778,STATE_DEPENDENT,False,True,2.709290799917653,22,0.010004873558828504,0.0080910813502134,-0.012317265904391458,0.029774747946980713,0.5454545454545454,0.2727272727272727,0.18181818181818182,-0.11145029613142325,0.11145029613142327,-0.08397221939740947,-0.12440429985474993,0.5277777777777778,0.16666666666666666,0.0,0.0,0.05555555555555555,0.25
STANDARD_DQN__seed_123__final,DQN,STANDARD_DQN,123.0,final,0.0012976303996947902,,1.4774017242234938,0.0818183065164127,0.9181816934835875,,0.24493002679463532,0.0,1.0,0.9333333333333333,STATE_DEPENDENT,False,True,1.6231269001145847,22,-0.15178343815456782,-0.12662386505113626,-0.22168241231090777,-0.08413276655555027,0.2727272727272727,0.0,0.7272727272727273,-0.20096162819381327,0.20096162819381333,-0.3768634760595495,-0.381104608510357,0.0,0.0,0.0,0.0,0.06666666666666667,0.9333333333333333
STANDARD_DQN__seed_42__10000,DQN,STANDARD_DQN,42.0,10000,0.15444885112221735,,1.8470928849018875,0.13826801957165144,0.8617319804283483,,1.3387390469716018,0.16666666666666666,0.8333333333333334,0.3888888888888889,STATE_DEPENDENT,False,True,1.639738199999556,22,0.0013677825679547456,0.0003784365151975333,-0.025933012096166455,0.026162962859612577,0.5454545454545454,0.0,0.45454545454545453,-0.1445119151385745,0.1445119151385745,-0.11847306837373957,-0.15120192442872454,0.16666666666666666,0.3888888888888889,0.027777777777777776,0.0,0.08333333333333333,0.3333333333333333
STANDARD_DQN__seed_42__15000,DQN,STANDARD_DQN,42.0,15000,0.1522116149048162,,1.8442480820724128,0.16312852749132065,0.8368714725086793,,1.4122709004588323,0.3333333333333333,0.6666666666666666,0.3333333333333333,STATE_DEPENDENT,False,True,1.5426667000283487,22,-0.0008694536494464535,0.0,-0.02618027594883129,0.021607627333380997,0.45454545454545453,0.09090909090909091,0.45454545454545453,-0.11965140721890531,0.11965140721890535,-0.10900050617598851,-0.1375961523848519,0.3333333333333333,0.2777777777777778,0.0,0.027777777777777776,0.1111111111111111,0.25
