seed,selected_checkpoint,episode_id,scenario_id,initial_inventory_coverage,fraction_expiring_within_two_days,demand_level,dqn_action_sequence,planning_action_sequence,baseline_action,dqn_minus_baseline,source_of_profit_loss
42,20000,core_012__recovered_calibration__episode_01,core_012,,,,4|1|1|1|0|0,5|5|0|0|0,always_0pct,-0.0828139639590389,UNNECESSARY_MARKDOWN
42,20000,core_009__recovered_calibration__episode_01,core_009,,,,4|1|1|1|0|0,5|5|0|0|0,always_0pct,-0.0828139639590389,UNNECESSARY_MARKDOWN
123,15000,core_012__recovered_calibration__episode_01,core_012,,,,1|3|1|1|0|0,5|5|0|0|0,always_0pct,-0.05545414647346558,UNNECESSARY_MARKDOWN
123,15000,core_009__recovered_calibration__episode_01,core_009,,,,1|3|1|1|0|0,5|5|0|0|0,always_0pct,-0.05545414647346558,UNNECESSARY_MARKDOWN
42,20000,core_003__recovered_calibration__episode_00,core_003,,,,1|1|3,0|0|0,always_0pct,-0.05180921375826175,EXCESSIVE_MARKDOWN_DEPTH
42,20000,core_006__recovered_calibration__episode_00,core_006,,,,1|1|3,0|0|0,always_0pct,-0.05180921375826175,EXCESSIVE_MARKDOWN_DEPTH
123,15000,core_006__recovered_calibration__episode_07,core_006,,,,5|0|0,1|0|0,always_0pct,-0.05100069194265844,MISTIMED_MARKDOWN
123,15000,core_003__recovered_calibration__episode_07,core_003,,,,5|0|0,1|0|0,always_0pct,-0.05100069194265844,MISTIMED_MARKDOWN
456,25000,core_006__recovered_calibration__episode_00,core_006,,,,1|0|5,0|0|0,always_0pct,-0.037743041188132376,EXCESSIVE_MARKDOWN_DEPTH
456,25000,core_003__recovered_calibration__episode_00,core_003,,,,1|0|5,0|0|0,always_0pct,-0.037743041188132376,EXCESSIVE_MARKDOWN_DEPTH
456,25000,core_012__recovered_calibration__episode_01,core_012,,,,2|0|1|0|0|0|5,5|5|0|0|0,always_0pct,-0.03502178108074733,UNNECESSARY_MARKDOWN
456,25000,core_009__recovered_calibration__episode_01,core_009,,,,2|0|1|0|0|0|5,5|5|0|0|0,always_0pct,-0.03502178108074733,UNNECESSARY_MARKDOWN
