relative_path,file_name,extension,column_name,dtype_in_sample,sample_missing_count,sample_missing_rate,sample_non_null_count,sample_values
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,city_id,int64,0,0.0,500,"[""0"", ""0"", ""0"", ""0"", ""0""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,store_id,int64,0,0.0,500,"[""0"", ""0"", ""0"", ""0"", ""0""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,management_group_id,int64,0,0.0,500,"[""0"", ""0"", ""0"", ""0"", ""0""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,first_category_id,int64,0,0.0,500,"[""5"", ""5"", ""5"", ""5"", ""5""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,second_category_id,int64,0,0.0,500,"[""6"", ""6"", ""6"", ""6"", ""6""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,third_category_id,int64,0,0.0,500,"[""65"", ""65"", ""65"", ""65"", ""65""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,product_id,int64,0,0.0,500,"[""38"", ""38"", ""38"", ""38"", ""38""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,dt,object,0,0.0,500,"[""2024-06-26"", ""2024-06-27"", ""2024-06-28"", ""2024-06-29"", ""2024-06-30""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,sale_amount,float64,0,0.0,500,"[""0.2"", ""0.0"", ""0.1"", ""3.5"", ""0.0""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,hours_sale,object,0,0.0,500,"[""[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.\n 0.  0.1 0.  0.  0.  0. ]"", ""[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"", ""[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.\n 0.  0.1 0.  0.  0.  0. ]"", ""[0.  0.  0.  0.  0.  0.2 0.2 0.4 0.2 0.  0.6 0.2 0.4 0.2 0.  0.3 0.  0.2\n 0.  0.  0.  0.6 0.  0. ]"", ""[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,stock_hour6_22_cnt,int32,0,0.0,500,"[""2"", ""0"", ""0"", ""0"", ""0""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,hours_stock_status,object,0,0.0,500,"[""[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1]"", ""[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"", ""[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"", ""[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"", ""[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,discount,float64,0,0.0,500,"[""1.0"", ""1.0"", ""1.0"", ""0.5"", ""1.0""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,holiday_flag,int32,0,0.0,500,"[""0"", ""0"", ""0"", ""1"", ""1""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,activity_flag,int32,0,0.0,500,"[""0"", ""0"", ""0"", ""1"", ""0""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,precpt,float64,0,0.0,500,"[""8.8076"", ""6.7032"", ""5.9756"", ""3.0101"", ""6.441""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,avg_temperature,float64,0,0.0,500,"[""27.42"", ""28.91"", ""28.03"", ""29.68"", ""28.28""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,avg_humidity,float64,0,0.0,500,"[""81.7"", ""80.34"", ""80.37"", ""80.35"", ""78.61""]"
data\operational\raw\freshretail\raw\freshretail_eval.parquet,freshretail_eval.parquet,.parquet,avg_wind_level,float64,0,0.0,500,"[""1.55"", ""1.57"", ""1.5"", ""1.86"", ""1.4""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,city_id,int64,0,0.0,500,"[""0"", ""0"", ""0"", ""0"", ""0""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,store_id,int64,0,0.0,500,"[""0"", ""0"", ""0"", ""0"", ""0""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,management_group_id,int64,0,0.0,500,"[""0"", ""0"", ""0"", ""0"", ""0""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,first_category_id,int64,0,0.0,500,"[""5"", ""5"", ""5"", ""5"", ""5""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,second_category_id,int64,0,0.0,500,"[""6"", ""6"", ""6"", ""6"", ""6""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,third_category_id,int64,0,0.0,500,"[""65"", ""65"", ""65"", ""65"", ""65""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,product_id,int64,0,0.0,500,"[""38"", ""38"", ""38"", ""38"", ""38""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,dt,object,0,0.0,500,"[""2024-03-28"", ""2024-03-29"", ""2024-03-30"", ""2024-03-31"", ""2024-04-01""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,sale_amount,float64,0,0.0,500,"[""0.1"", ""0.1"", ""0.0"", ""0.1"", ""0.2""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,hours_sale,object,0,0.0,500,"[""[0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.\n 0.  0.  0.  0.  0.  0. ]"", ""[0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.\n 0.  0.  0.  0.  0.  0. ]"", ""[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"", ""[0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.\n 0.  0.  0.  0.  0.  0. ]"", ""[0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.\n 0.  0.  0.  0.  0.  0. ]""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,stock_hour6_22_cnt,int32,0,0.0,500,"[""0"", ""1"", ""0"", ""11"", ""8""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,hours_stock_status,object,0,0.0,500,"[""[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"", ""[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1]"", ""[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"", ""[0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1]"", ""[1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1]""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,discount,float64,0,0.0,500,"[""1.0"", ""1.0"", ""1.0"", ""1.0"", ""1.0""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,holiday_flag,int32,0,0.0,500,"[""0"", ""0"", ""1"", ""1"", ""0""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,activity_flag,int32,0,0.0,500,"[""0"", ""0"", ""0"", ""0"", ""0""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,precpt,float64,0,0.0,500,"[""1.6999"", ""3.019"", ""2.0942"", ""1.5618"", ""3.5386""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,avg_temperature,float64,0,0.0,500,"[""15.48"", ""15.08"", ""15.91"", ""16.13"", ""15.37""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,avg_humidity,float64,0,0.0,500,"[""73.54"", ""76.56"", ""76.47"", ""77.4"", ""78.26""]"
data\operational\raw\freshretail\raw\freshretail_train.parquet,freshretail_train.parquet,.parquet,avg_wind_level,float64,0,0.0,500,"[""1.97"", ""1.71"", ""1.73"", ""1.76"", ""1.25""]"
