metric,full_value,subset_value,absolute_difference
stockout_rate,0.5597022680412371,0.5624398625429553,0.002737594501718177
promotion_rate,0.3749041237113402,0.3619931271477663,0.012910996563573862
markdown_rate_mean,0.08810099859093841,0.09005829764824144,0.001957299057303033
markdown_rate_median,0.009000000000000008,0.013500005006790161,0.004500005006790153
sales_mean,1.0126246,1.0762858762886598,0.0636612762886597
sales_median,0.7,0.7,0.0
inventory_mean,3.1599107216494846,3.151786941580756,0.008123780068728603
inventory_median,0.0,0.0,0.0
sequence_length_median,97.0,97.0,0.0
stores,898.0,232.0,666.0
skus,865.0,177.0,688.0
