scenario_id,grid_type,shelf_life_class,inventory_coverage,age_profile,margin_scenario,disposal_scenario,demand_target,response_model,lambda_waste
core_001,core,short_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1
core_002,core,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1
core_003,core,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1
core_004,core,short_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1
core_005,core,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1
core_006,core,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1
core_007,core,medium_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1
core_008,core,medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1
core_009,core,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1
core_010,core,medium_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1
core_011,core,medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1
core_012,core,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1
core_013,core,long_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1
core_014,core,long_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1
core_015,core,long_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1
core_016,core,long_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1
core_017,core,long_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1
core_018,core,long_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1
