scenario_id,grid_type,shelf_life_class,inventory_coverage,age_profile,margin_scenario,disposal_scenario,demand_target,response_model,lambda_waste
sensitivity_001,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,low_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_002,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,low_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_003,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,low_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_004,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,medium_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_005,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_006,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,medium_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_007,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,high_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_008,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,high_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_009,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,high_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_010,sensitivity,medium_shelf_life,balanced_inventory,uniform,low_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_011,sensitivity,medium_shelf_life,balanced_inventory,uniform,low_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_012,sensitivity,medium_shelf_life,balanced_inventory,uniform,low_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_013,sensitivity,medium_shelf_life,balanced_inventory,uniform,medium_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_014,sensitivity,medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_015,sensitivity,medium_shelf_life,balanced_inventory,uniform,medium_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_016,sensitivity,medium_shelf_life,balanced_inventory,uniform,high_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_017,sensitivity,medium_shelf_life,balanced_inventory,uniform,high_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_018,sensitivity,medium_shelf_life,balanced_inventory,uniform,high_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_019,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,low_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_020,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,low_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_021,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,low_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_022,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,medium_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_023,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_024,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,medium_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_025,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,high_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_026,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,high_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25
sensitivity_027,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,high_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25
