policy_id,agent_id,kind,checkpoint_step,classification,action_entropy,one_action_episode,action_0_share,action_1_share,action_2_share,action_3_share,action_4_share,action_5_share
always_0pct,baseline,baseline,,ZERO_ACTION_COLLAPSE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
always_10pct,baseline,baseline,,UNSTABLE_POLICY,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
always_5pct,baseline,baseline,,UNSTABLE_POLICY,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
expiry_threshold_rule,baseline,baseline,,STATE_DEPENDENT_POLICY,0.6563357225876092,0.0,0.6083333333333333,0.0,0.39166666666666666,0.0,0.0,0.0
inventory_coverage_rule,baseline,baseline,,STATE_DEPENDENT_POLICY,0.8006284599261114,0.0,0.325,0.0,0.075,0.125,0.475,0.0
observed_financial__best_model,observed_financial,ppo,,ZERO_ACTION_COLLAPSE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
observed_financial__checkpoint_17288,observed_financial,ppo,17288.0,STATE_DEPENDENT_POLICY,0.5521377949473114,0.2,0.4083333333333333,0.5166666666666666,0.075,0.0,0.0,0.0
observed_financial__checkpoint_22288,observed_financial,ppo,22288.0,STATE_DEPENDENT_POLICY,0.5318645395419033,0.2,0.45,0.5333333333333333,0.016666666666666666,0.0,0.0,0.0
observed_financial__checkpoint_27288,observed_financial,ppo,27288.0,UNSTABLE_POLICY,0.19095425048844383,0.7,0.9,0.1,0.0,0.0,0.0,0.0
observed_financial__checkpoint_32288,observed_financial,ppo,32288.0,ZERO_ACTION_COLLAPSE,0.06365141682948128,0.9,0.9666666666666666,0.03333333333333333,0.0,0.0,0.0,0.0
observed_financial__final_model,observed_financial,ppo,,ZERO_ACTION_COLLAPSE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
random_policy,baseline,baseline,,STATE_DEPENDENT_POLICY,0.716703787691222,0.1,0.16666666666666666,0.06666666666666667,0.18333333333333332,0.16666666666666666,0.2333333333333333,0.18333333333333332
recovered_financial__best_model,recovered_financial,ppo,,ZERO_ACTION_COLLAPSE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
recovered_financial__checkpoint_17288,recovered_financial,ppo,17288.0,STATE_DEPENDENT_POLICY,0.46254982148590873,0.3,0.6833333333333333,0.31666666666666665,0.0,0.0,0.0,0.0
recovered_financial__checkpoint_22288,recovered_financial,ppo,22288.0,MOSTLY_ZERO_BUT_STATE_DEPENDENT,0.3267520359871763,0.5,0.7916666666666667,0.20833333333333331,0.0,0.0,0.0,0.0
recovered_financial__checkpoint_27288,recovered_financial,ppo,27288.0,ZERO_ACTION_COLLAPSE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
recovered_financial__checkpoint_32288,recovered_financial,ppo,32288.0,ZERO_ACTION_COLLAPSE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
recovered_financial__final_model,recovered_financial,ppo,,ZERO_ACTION_COLLAPSE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
