state_id,scenario_id,calibration_mode,episode_index,start_day,prefix_actions,reset_seed,deterministic_demand,same_store_product_episode_proxy,same_start_date_proxy,same_scenario,same_calibration_mode,same_initial_inventory_proxy,same_age_profile,same_horizon,same_demand_noise_seed,same_discount_response_model,same_accounting_normalization,action_value_metadata_match,action_values_available_for_all_actions,pairing_status
state_0000,core_002,observed_calibration,0,0,,20000,True,True,True,True,True,True,True,True,True,True,True,True,True,COMPARABLE_LIMITED_DIAGNOSTIC_ACTION_VALUES_AVAILABLE
state_0001,core_002,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,True,True,COMPARABLE_LIMITED_DIAGNOSTIC_ACTION_VALUES_AVAILABLE
state_0002,core_002,observed_calibration,1,1,0,20001,True,True,True,True,True,True,True,True,True,True,True,True,True,COMPARABLE_LIMITED_DIAGNOSTIC_ACTION_VALUES_AVAILABLE
state_0003,core_002,observed_calibration,1,2,0|0,20001,True,True,True,True,True,True,True,True,True,True,True,True,True,COMPARABLE_LIMITED_DIAGNOSTIC_ACTION_VALUES_AVAILABLE
state_0004,core_002,observed_calibration,3,0,,20003,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0005,core_002,observed_calibration,5,1,0,20005,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0006,core_002,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0007,core_002,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0008,core_002,observed_calibration,1,1,5,20001,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0009,core_002,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0010,core_002,recovered_calibration,0,0,,20000,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0011,core_002,recovered_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0012,core_002,recovered_calibration,1,1,0,20001,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
