"path","size_bytes","sha256","category"
".gitignore","1355","6c9edae2924a4c9739ca5d4a5a99c54fd13f7e8c72a63ed6f7344f4ace02c4e9","other"
"CITATION.cff","558","97e4b215cb485881b009b4d599cdd1b337735849f785eb2627b8f89b0aaa3b13","other"
"environment.yml","287","8b51ed948e43320afda5f156b898b88032f2a5d2a0d597277f6b514871390ed3","other"
"LICENSE","1187","c995ba10182cc3bf40274e7742b971418b96c0dccabd83a24abb35f4c00e30d0","other"
"pyproject.toml","327","79b46c05ac476d2a36afaa7a98b396d8b6d2f03e3918ebe95582d2092f807ec2","other"
"README.md","10493","95a7001c158dd6a54028fdf11126fb196c9b5bde6866937b8c0225d5a32e84af","other"
"requirements.txt","91","c01f6a6f81869d75bec642a963d302f9d9962750eebde30afb66e893a49db8e3","other"
"data\operational\processed\.gitkeep","5","f01a374e9c81e3db89b3a42940c4d6a5447684986a1296e42bf13f196eed6295","other"
"data\processed\.gitkeep","2","7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6","other"
"data\raw\.gitkeep","2","7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6","other"
"data\raw\README.md","884","64b7e01024ff7ba4175c2c4d6cffaed44c6641291e07e401c1f88a738e973fdf","other"
"docs\archive_integrity_check.md","1602","8d237c255821893e2c87ebb95661a5028e2e224de8cf536c4e9079c7d44b24b1","docs"
"docs\data_and_assumptions.md","700","0cb1a1786549b30b4655b12404ff1b17cbd802710f627a53f44a3015438023b5","docs"
"docs\dqn_final_statistical_decision.md","3001","b1ec380a12b2f48beb64e9eff35e90abb3a46fc2113e63737bac54dc6505e067","docs"
"docs\dqn_results.md","447","c7530d1cb115c28bb568a7daee30ad0208f173a159286f8281687738621c24fc","docs"
"docs\experiment_timeline.md","1128","6e6420cd3346f6dfd5877f0433809ab88d189f3fb8120000866c9118dbfa702f","docs"
"docs\final_candidate_model_selection.md","1217","4f628491a56ef0d47551ec950754e277371507902b631d521a9b8afbd73ba0da","docs"
"docs\final_dqn_ensemble_test_decision.md","2205","6a5c8f28a83b9b25b01782036103d1146e3f732c1b3f13f15dd63e8fa84df35a","docs"
"docs\final_figure_interpretation.md","4348","6061bfba84b04b84fb1a051069b9c8202dcdf343073c09d4790e5415b8cca7bf","docs"
"docs\final_model_decision_task_interpretation.md","2654","a42374c0423981fcb99e972abd7af497922568a901b4e02390c268679b495ad9","docs"
"docs\final_test_results.md","750","0578689c560f1bd9725a8cca251b03c74d379423ba63d7611a3e0f1fab13ada8","docs"
"docs\limitations.md","533","e2293acc2f1e120c03b3e20f770bc393efb5fb4529bd5fe5f138985a317d8828","docs"
"docs\limited_horizon_planning_decision.md","1841","f2823b15bdd559118e95664e48779547ce350ba2f45140ccd3af3504520b1780","docs"
"docs\planning_and_distillation_results.md","480","8db7e9c6bf1876db48006d2c5cbde0d745616bd4cf7b7688b01db05b96559dd1","docs"
"docs\planning_distillation_decision.md","1452","bb3bb058b2e9b59b3cd09bdb460b33ad529b9b91078fe0fd0b0fdf21c7b16430","docs"
"docs\ppo_redesign_reporting_corrections.md","3659","a01b80f46c2955ade2c68e4ecc36c77ba9f500fa73f439eee5014cd0e2d0d1aa","docs"
"docs\ppo_results.md","510","fcbc65a06abbbb72eae6812eca9f74bcd9376ea115193b061fabe8724c074901","docs"
"docs\project_progress_and_redesign.md","6751","d23471809b22dc6eb4e407b05efdc2b54f9f83262e362b252a8fb36c45fd0829","docs"
"docs\repository_archive_audit.md","5851","7942035033f49a88de3e325426ab4fe98e131e9532140a7fd4d1b52dfa40eb11","docs"
"docs\reproducibility.md","718","865e169b241cf9587ac409e7680a5d00847e5877d2f02143aa2fcd1cccfa5413","docs"
"docs\research_design.md","781","f01126623c448eb3ea0388e9b8896db05f0b722b5ee624111e49e4a240182cf8","docs"
"docs\security_and_file_size_audit.md","2346","7df2256b4e4543135bad0af817a69d968633619012ac02f1186fc1d00f28eb15","docs"
"notebooks\README.md","106","6fba9566f9144c842ca132a34e5661cfa551a39bb30638dc797f3bc5ce374f09","other"
"outputs\configs\artifact_manifest.csv","93313","7e40e0b61424bf1545e06973d37c52f0963172a25871c139e2a6e694ea1952d4","config"
"outputs\configs\checksum_manifest.sha256","81818","cc5aef5a94a14782a3c5e93c67edf19dfb1ee9af044c88514147847da14ab651","config"
"outputs\configs\dqn_equal_weight_ensemble_candidate.json","3056","770c203911cf84fabdd1ba333485201a65d324c0ef27451a41353a6b3f0216d0","config"
"outputs\configs\dqn_locked_candidate.json","3683","dbac94d26040bfaad160f354cf5a22be4dcdb99ab1b194b7c82a689607a0d48a","config"
"outputs\configs\dqn_locked_candidate_hashes.json","1265","05d38f7353c2e97a513c7d15954c24a3803b15365035f1b40f4f79732d50e3ae","config"
"outputs\configs\final_candidate_locked_model.json","523","2a8613a109aeba2b0008c72ea7b4d168b8f5c2776fb9a1f1b4a5dbd29b6ecbf8","config"
"outputs\configs\final_high_risk_b_candidate.json","269","cffb593dd873a33c67f07c47b9e6785b7972989a47b712f0cc7f9f68935b840b","config"
"outputs\configs\final_high_risk_b_candidate_hashes.json","776","732d7594b8d892d2d7476cd5b6737bee5a8de5a958f36e44c84e6586bec085aa","config"
"outputs\configs\final_locked_dqn_ensemble.json","4321","884c53fd49ace53324e209a1ff4af09f6e906cd0c4d92af9727356ceb7c6ca0e","config"
"outputs\configs\final_locked_dqn_ensemble_hashes.json","1882","17d2ec265772826749ae90dd2d17ed74428a22ea10663638849543b7cd99c95c","config"
"outputs\configs\final_test_evaluation_protocol.json","936","05f8ea7398f7903b5dc8619351fd489e30de6d0259a8fb5dffd90248c7dfeac0","config"
"outputs\configs\perishability_accounting_specification.json","752","e4d3536660781895cc3f61dbd3067e549bd9a71faaa78d6d6a0cdb73d8c99c57","config"
"outputs\configs\perishability_financial_reward_specification.json","408","44135ef28339ef9ae060f57a733eb923ed4974c2e9dfb57997a92afa45b95191","config"
"outputs\configs\perishability_master_config.json","2356","ffcf13b6fd0fbb22e82d30ab32be50c908c4e8f3fd8a60495d2652ab4773b2eb","config"
"outputs\configs\perishability_sustainability_reward_specification.json","515","9d2afdf87d4c677a92f8eca410e336e6381e8b35c8a4f928ca6bad90d456767e","config"
"outputs\configs\perishability_transition_specification.json","968","a7cee195d22972318fb5ab84ab06adbd5116f016b50ba7ac42bae35446ae6f4c","config"
"outputs\configs\ppo_input_artifact_hashes.json","1676","f6306559d5707c2d84fc3649451caf4171c0d2d0c339a31a3451f3af3ac85f6b","config"
"outputs\configs\ppo_operational_experiment_config.json","6114","285bf329553f7e25254fc6cf46f045775d4a177af6b565487e3a71e59b03e189","config"
"outputs\configs\ppo_redesign_selected_model.json","4251","005f7c52ed57bc3de5672531c1cbcb91ddc73b89f7d4a9a1591b040e5a8bd75e","config"
"outputs\configs\ppo_redesign_selected_model_hashes.json","2002","9b03537ec9a23ef36a985b158527b3ca57423a9b6f4727ba8bd879705bc7317c","config"
"outputs\configs\ppo_selected_financial_models.json","1628","70189ef32fb498a09529944b7b71193999ca5f03556f1a2dd7038836bb26c404","config"
"outputs\configs\ppo_selected_financial_model_hashes.json","2472","abf2109c79eb45f50a714e40140e66701f59f6f34a7298b670ac54237a3865a8","config"
"outputs\configs\ppo_validation_episode_manifest.csv","226","677306d58816705a85acdb38bf961f1f1ae9e08207d717023255df4b3ebc5b45","config"
"outputs\configs\pricing_env_operational_config.json","4165","7a05a111a299425edb5c7a41456a70a68c05c94b8a38d5182871fa014c60691e","config"
"outputs\configs\repository_file_inventory.csv","128200","2d63ec7671eb66f54f97e0834c2d4a284172b50eff030699d85447b2fa526038","config"
"outputs\configs\sustainability_audit_metadata.json","717","9dc393ef80d1954fac17e2a80cd9be1b29b267e47343f433d78fd37063a2b97c","config"
"outputs\configs\sustainability_extension_config.json","390","ba1f98ba675eda49527773622d483743d4bd27b33932933ec541a156872b751e","config"
"outputs\figures\.gitkeep","5","f01a374e9c81e3db89b3a42940c4d6a5447684986a1296e42bf13f196eed6295","figure"
"outputs\figures\discount_response\action_ranking_comparison.png","56171","a5ec6794bc5ebbb6a947aea57b9917f07af21c3d0427bb480d6de2685bdb3ed9","figure"
