target,scope,scope_value,n,markdown_levels,pearson,spearman
observed,store_id,112,97,19,0.256362315364676,0.1211035912084959
recovered,store_id,112,97,19,0.26490796833157293,0.15390881409585058
observed,store_id,117,97,25,0.17220437280324757,0.16875317796756423
recovered,store_id,117,97,25,0.15872626795302153,0.1542260025583399
observed,store_id,132,97,27,-0.017000598426587375,-0.003935026187532621
recovered,store_id,132,97,27,0.07493028172959347,0.12419669999222681
observed,store_id,140,194,24,0.225365807950973,0.24813254151382919
recovered,store_id,140,194,24,0.15342834700598315,0.17498795322816865
observed,store_id,147,97,12,0.46188506728224427,0.46338446825761775
recovered,store_id,147,97,12,0.5437051168015782,0.5738849312358393
observed,store_id,148,97,21,0.6680937146748875,0.818911075238429
recovered,store_id,148,97,21,0.7044293651849981,0.7770901585758708
observed,store_id,153,97,15,0.1827578649329664,0.37486160038785066
recovered,store_id,153,97,15,0.2699968353158904,0.40303684935577666
observed,store_id,155,97,14,0.22460131558818477,0.37728463741021967
recovered,store_id,155,97,14,0.21158549950991648,0.37474629989497354
observed,store_id,161,97,22,0.2090137084357724,0.36868410933864715
recovered,store_id,161,97,22,0.3379500932438681,0.3832679334759314
observed,store_id,166,97,12,-0.10934146414238802,0.0940566118794343
recovered,store_id,166,97,12,-0.07363128462018288,0.010336228576229074
observed,store_id,167,97,3,-0.022619177912521805,0.0414278543510995
recovered,store_id,167,97,3,-0.08688701426628152,-0.012237372111175867
observed,store_id,17,97,19,0.117596285914208,0.24478989427055847
recovered,store_id,17,97,19,0.007036486197002657,0.12512076346429507
observed,store_id,170,97,23,0.22272078263240436,0.3222872163448529
recovered,store_id,170,97,23,0.16579741059123218,0.1829023173269588
observed,store_id,172,97,11,0.25528255711644227,0.29344138799729075
recovered,store_id,172,97,11,0.17638123049176796,0.22264983964286947
observed,store_id,173,194,43,-0.19669185100801956,-0.2178444190420324
recovered,store_id,173,194,43,-0.2300109205585148,-0.2981645792353151
observed,store_id,177,97,17,0.36390940250115533,0.3575795891271235
recovered,store_id,177,97,17,0.33053321130356733,0.3371014659882736
observed,store_id,18,194,37,0.27237679055885566,0.19750845143271217
recovered,store_id,18,194,37,0.19452593724024572,0.08414439484556745
observed,store_id,181,97,26,0.3436975402980276,0.4527573452686886
recovered,store_id,181,97,26,0.27804960645515614,0.44057718134987406
observed,store_id,182,291,105,-0.060661028021918716,0.16917020011641254
recovered,store_id,182,291,105,-0.05565665459268212,0.21416563674020875
observed,store_id,183,194,57,0.10535164138255473,0.1143181899802314
recovered,store_id,183,194,57,0.03665257156231029,0.09362985648303937
observed,store_id,184,97,71,0.339480153930004,0.3185206552136564
recovered,store_id,184,97,71,0.3810657461091371,0.3758698301257395
observed,store_id,188,194,9,-0.01784560042173637,0.0014035571236708734
recovered,store_id,188,194,9,-0.08260046238136066,-0.11615064847957261
