target,markdown_bin,n,mean,median,std,p10,p25,p75,p90
observed,"(0.001, 0.05]",2201,1.4149386642435255,0.9,2.086007824521142,0.4,0.6,1.5,2.4
observed,"(0.05, 0.1]",2811,0.9987299893276413,0.7,1.277084558723016,0.3,0.4,1.0,1.7
observed,"(0.1, 0.2]",5382,1.0187997027127462,0.7,1.3090586597357734,0.3,0.5,1.185,1.8
observed,"(0.2, 0.3]",2706,1.0260051736881004,0.8,1.0260244537244276,0.3,0.5,1.2,2.0
observed,"(0.3, 1.0]",2103,2.811854493580599,1.2,5.054045631400579,0.3,0.7,2.4,4.3
observed,0%,13897,0.8077519608548608,0.6,0.9287240137706719,0.1,0.3,1.0,1.7
recovered,"(0.001, 0.05]",2201,1.5252968784222267,1.0,2.0754833469070983,0.5,0.7,1.6,2.6
recovered,"(0.05, 0.1]",2811,1.1375432677126773,0.8,1.2920420855711958,0.4,0.6,1.1,1.8
recovered,"(0.1, 0.2]",5382,1.154554363408915,0.8,1.3206397784547197,0.4,0.6,1.3,2.0
recovered,"(0.2, 0.3]",2706,1.176127188535602,0.9027144308970738,1.0517835371746582,0.4,0.6236112322839666,1.3,2.223529641166863
recovered,"(0.3, 1.0]",2103,3.0025215795198887,1.3634086156938865,5.03213575253422,0.5,0.9,2.6929195054192827,4.7
recovered,0%,13897,0.9516677057384881,0.7,0.9275464908750022,0.3,0.5,1.1,1.8
