time_split,markdown_bin,row_count,store_count,product_count,promotion_share,possible_stockout_share,observed_demand_mean,observed_demand_median,recovered_demand_mean,recovered_demand_median,inventory_mean,inventory_median
test,"(0.001, 0.05]",605,143,102,0.049586776859504134,0.6165289256198347,2.0524628099173556,1.1,2.167739672791264,1.2,2.0925619834710742,0.0
test,"(0.05, 0.1]",534,91,64,0.352059925093633,0.5917602996254682,1.2604119850187265,0.8,1.414784929096291,0.9800740665117371,2.4962546816479403,0.0
test,"(0.1, 0.2]",956,122,88,0.8880753138075314,0.6098326359832636,1.0517154811715481,0.7,1.183942889632031,0.8585022367391033,2.6401673640167362,0.0
test,"(0.2, 0.3]",521,74,56,0.8809980806142035,0.6468330134357005,1.118637236084453,0.8,1.272953260094449,0.9138181247939304,2.4452975047984644,0.0
test,"(0.3, 1.0]",572,52,31,0.8444055944055944,0.6066433566433567,2.9405594405594404,1.1,3.1302863856830396,1.2959183338909872,2.7587412587412588,0.0
test,0%,2512,195,148,0.030254777070063694,0.5664808917197452,0.8274199840764332,0.6,0.9655857163264865,0.8,3.230095541401274,0.0
train,"(0.001, 0.05]",1137,152,121,0.08795074758135445,0.5760773966578716,1.0491204925241864,0.8,1.1555354417402248,0.9,2.465259454705365,0.0
train,"(0.05, 0.1]",1710,146,112,0.3649122807017544,0.5257309941520468,0.9343508771929824,0.6,1.0642953614669173,0.78,3.132748538011696,0.0
train,"(0.1, 0.2]",3493,166,119,0.9009447466361294,0.5201832235900372,1.0274577726882335,0.7,1.1553541041987447,0.8,3.340108789006585,0.0
train,"(0.2, 0.3]",1637,110,77,0.9547953573610263,0.5174098961514967,0.9867929138668295,0.8,1.1187862292642294,0.9,3.5717776420281,0.0
train,"(0.3, 1.0]",918,57,39,0.8289760348583878,0.4553376906318083,2.903834422657952,1.4,3.0881698530385817,1.540204482370406,4.107843137254902,2.0
train,0%,8805,215,169,0.02180579216354344,0.5568427030096537,0.7981851220897218,0.5,0.941411472531595,0.7,3.532197614991482,0.0
validation,"(0.001, 0.05]",459,113,82,0.02832244008714597,0.5947712418300654,1.4808061002178647,0.9,1.594449085206907,1.0013296597947337,2.2200435729847494,0.0
validation,"(0.05, 0.1]",567,102,78,0.291005291005291,0.5890652557319224,0.9464373897707231,0.6,1.097343748314793,0.7925628658385757,2.6437389770723105,0.0
validation,"(0.1, 0.2]",933,116,87,0.9013933547695605,0.5894962486602358,0.952658092175777,0.7,1.121447261963926,0.8,2.690246516613076,0.0
validation,"(0.2, 0.3]",548,76,54,0.8832116788321168,0.6240875912408759,1.0550729927007299,0.8,1.2553621648952327,1.0,2.7153284671532845,0.0
validation,"(0.3, 1.0]",613,46,28,0.8629690048939641,0.6296900489396411,2.554013050570963,1.1,2.755039386672446,1.3,2.205546492659054,0.0
validation,0%,2580,183,139,0.011627906976744186,0.6062015503875969,0.8212519379844961,0.6,0.9731189037189698,0.7101918091473833,2.7961240310077518,0.0
