state_id,scenario_id,calibration_mode,source_policy,episode_index,day,prefix_actions,inventory_coverage_state,fraction_expiring_today,fraction_expiring_within_two_days,predicted_baseline_demand,episode_day,episode_period,remaining_inventory_life,shelf_life_class,scenario_inventory_coverage,age_profile,margin_scenario,disposal_scenario,demand_target,response_model
state_0000,core_002,observed_calibration,always_0pct,0,0,,1.10713791847229,0.3333333432674408,0.6666666865348816,1.5271564722061157,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0001,core_002,observed_calibration,always_0pct,1,0,,3.0921051502227783,0.3333333432674408,0.6666666865348816,0.46009570360183716,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0002,core_002,observed_calibration,always_0pct,1,1,0,1.9010639190673828,0.46922096610069275,1.0,0.47374415397644043,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0003,core_002,observed_calibration,always_0pct,1,2,0|0,0.7229486703872681,1.0,1.0,0.42175689339637756,2,late,1,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0004,core_002,recovered_calibration,always_0pct,0,0,,1.220010757446289,0.3333333432674408,0.6666666865348816,1.6501003503799438,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0005,core_002,recovered_calibration,always_0pct,1,0,,3.8996362686157227,0.3333333432674408,0.6666666865348816,0.43535053730010986,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0006,core_002,recovered_calibration,always_0pct,1,1,0,2.5673441886901855,0.5,1.0,0.44221848249435425,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0007,core_002,recovered_calibration,always_0pct,1,2,0|0,1.264838695526123,1.0,1.0,0.43991056084632874,2,late,1,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0008,core_003,observed_calibration,always_0pct,0,0,,2.21427583694458,0.3333333432674408,0.6666666865348816,1.514770746231079,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0009,core_003,observed_calibration,always_0pct,0,1,0,0.81682288646698,0.14010867476463318,1.0,1.1891764402389526,1,early,2,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0010,core_003,observed_calibration,always_0pct,1,0,,6.184210300445557,0.3333333432674408,0.6666666865348816,0.4501940608024597,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0011,core_003,observed_calibration,always_0pct,1,2,0|0,1.969266653060913,1.0,1.0,0.47620972990989685,2,late,1,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0012,core_003,recovered_calibration,always_0pct,0,0,,2.440021514892578,0.3333333432674408,0.6666666865348816,1.6303950548171997,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0013,core_003,recovered_calibration,always_0pct,0,1,0,1.1207789182662964,0.3017570376396179,1.0,1.295389175415039,1,early,2,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
