concept,candidate_column,score,status,reason
timestamp,dt,9,confirmed,exact:dt;datetime_parseable
date,dt,9,confirmed,exact:dt;datetime_parseable
date,holiday_flag,3,alternative,contains:day
hour,hours_sale,3,ambiguous,contains:hour
hour,hours_stock_status,3,ambiguous,contains:hour
hour,stock_hour6_22_cnt,3,ambiguous,contains:hour
city,city_id,3,ambiguous,contains:city
store_id,store_id,9,confirmed,exact:store_id;contains:store
sku_id,product_id,6,confirmed,exact:product_id
category,first_category_id,6,ambiguous,contains:category;contains:cat
category,second_category_id,6,ambiguous,contains:category;contains:cat
category,third_category_id,6,ambiguous,contains:category;contains:cat
category,management_group_id,3,alternative,contains:group
sales_qty,sale_amount,5,confirmed,contains:sale;numeric
sales_qty,hours_sale,3,alternative,contains:sale
sales_qty,activity_flag,2,alternative,numeric
sales_qty,avg_humidity,2,alternative,numeric
sales_qty,avg_temperature,2,alternative,numeric
sales_qty,avg_wind_level,2,alternative,numeric
sales_qty,city_id,2,alternative,numeric
sales_qty,discount,2,alternative,numeric
inventory,stock_hour6_22_cnt,5,confirmed,contains:stock;numeric
inventory,hours_stock_status,3,alternative,contains:stock
inventory,activity_flag,2,alternative,numeric
inventory,avg_humidity,2,alternative,numeric
inventory,avg_temperature,2,alternative,numeric
inventory,avg_wind_level,2,alternative,numeric
inventory,city_id,2,alternative,numeric
inventory,discount,2,alternative,numeric
stock_status,hours_stock_status,3,ambiguous,contains:stock_status
stockout,activity_flag,2,ambiguous,bool_like
stockout,city_id,2,ambiguous,bool_like
stockout,holiday_flag,2,ambiguous,bool_like
stockout,store_id,2,ambiguous,bool_like
promotion,activity_flag,5,confirmed,contains:activity;bool_like
promotion,city_id,2,alternative,bool_like
promotion,holiday_flag,2,alternative,bool_like
promotion,store_id,2,alternative,bool_like
discount_rate,discount,8,confirmed,exact:discount;numeric
discount_rate,activity_flag,2,alternative,numeric
discount_rate,avg_humidity,2,alternative,numeric
discount_rate,avg_temperature,2,alternative,numeric
discount_rate,avg_wind_level,2,alternative,numeric
discount_rate,city_id,2,alternative,numeric
discount_rate,first_category_id,2,alternative,numeric
discount_rate,holiday_flag,2,alternative,numeric
original_price,activity_flag,2,ambiguous,numeric
original_price,avg_humidity,2,ambiguous,numeric
original_price,avg_temperature,2,ambiguous,numeric
original_price,avg_wind_level,2,ambiguous,numeric
original_price,city_id,2,ambiguous,numeric
original_price,discount,2,ambiguous,numeric
original_price,first_category_id,2,ambiguous,numeric
original_price,holiday_flag,2,ambiguous,numeric
selling_price,activity_flag,2,ambiguous,numeric
selling_price,avg_humidity,2,ambiguous,numeric
selling_price,avg_temperature,2,ambiguous,numeric
selling_price,avg_wind_level,2,ambiguous,numeric
selling_price,city_id,2,ambiguous,numeric
selling_price,discount,2,ambiguous,numeric
selling_price,first_category_id,2,ambiguous,numeric
selling_price,holiday_flag,2,ambiguous,numeric
weather,avg_temperature,6,confirmed,contains:temperature;contains:temp
weather,avg_humidity,3,alternative,contains:humidity
weather,avg_wind_level,3,alternative,contains:wind
precipitation,,0,missing,No candidate matched configured keywords.
holiday,holiday_flag,3,ambiguous,contains:holiday
