episode_id,same_scenario,same_calibration_mode,same_episode_index,same_reset_seed,same_deterministic_demand,same_initial_inventory,same_age_profile,same_episode_horizon,same_normalization,same_economic_parameters,same_split,pairing_status
core_002__recovered_calibration__episode_01,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_002__recovered_calibration__episode_02,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_002__recovered_calibration__episode_03,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_003__recovered_calibration__episode_00,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_003__recovered_calibration__episode_01,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_003__recovered_calibration__episode_02,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_003__recovered_calibration__episode_03,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_003__recovered_calibration__episode_05,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_003__recovered_calibration__episode_06,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_003__recovered_calibration__episode_07,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_005__recovered_calibration__episode_01,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_005__recovered_calibration__episode_02,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_005__recovered_calibration__episode_03,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_006__recovered_calibration__episode_00,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_006__recovered_calibration__episode_01,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_006__recovered_calibration__episode_02,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_006__recovered_calibration__episode_03,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_006__recovered_calibration__episode_05,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_006__recovered_calibration__episode_06,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_006__recovered_calibration__episode_07,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_009__recovered_calibration__episode_01,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
core_012__recovered_calibration__episode_01,True,True,True,True,True,True,True,True,True,True,True,PAIRED_VALID
