policy_id,reference_policy_id,metric,paired_mean_difference,paired_median_difference,bootstrap_ci_low,bootstrap_ci_high,win_share,tie_share,loss_share
always_10pct,always_0pct,episode_return,-0.09999999999999994,-0.09999999999999995,-0.09999999999999998,-0.09999999999999992,0.0,0.0,1.0
always_10pct,always_0pct,normalized_accounting_profit,-0.09999999999999998,-0.09999999999999998,-0.1,-0.09999999999999995,0.0,0.0,1.0
always_10pct,always_0pct,raw_accounting_profit,-0.2942858748121728,-0.18313071942470527,-0.4122517515872519,-0.19614004647167302,0.0,0.0,1.0
always_10pct,always_0pct,revenue,-0.294285874812173,-0.18313071942470527,-0.4282702122474556,-0.19073871899002973,0.0,0.0,1.0
always_10pct,always_0pct,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
always_10pct,always_0pct,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
always_10pct,always_0pct,sell_through_rate,1.1102230246251566e-17,0.0,-1.1102230246251566e-17,3.8857805861880476e-17,0.1,0.85,0.05
always_10pct,always_0pct,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
always_10pct,always_0pct,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
always_5pct,always_0pct,episode_return,-0.050000000000000044,-0.050000000000000044,-0.05000000000000006,-0.05000000000000001,0.0,0.0,1.0
always_5pct,always_0pct,normalized_accounting_profit,-0.050000000000000044,-0.050000000000000044,-0.05000000000000006,-0.050000000000000024,0.0,0.0,1.0
always_5pct,always_0pct,raw_accounting_profit,-0.14714293740608653,-0.09156535971235275,-0.2055614043895158,-0.09986137118132343,0.0,0.0,1.0
always_5pct,always_0pct,revenue,-0.14714293740608658,-0.09156535971235291,-0.20731609846389357,-0.10206551038604912,0.0,0.0,1.0
always_5pct,always_0pct,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
always_5pct,always_0pct,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
always_5pct,always_0pct,sell_through_rate,-5.551115123125783e-18,0.0,-2.5118795932144158e-17,1.1102230246251566e-17,0.05,0.85,0.1
always_5pct,always_0pct,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
always_5pct,always_0pct,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
expiry_threshold_rule,always_0pct,episode_return,-0.047246192068481255,-0.043955998930895857,-0.05124798312192199,-0.04264354456960729,0.0,0.0,1.0
