episode_seed,preferred_action_changed,observed_best_policy,recovered_best_policy,mean_profit_difference,mean_waste_difference
0,0.0,always_0pct,always_0pct,0.19923651790459904,0.0
1,0.0,always_0pct,always_0pct,0.16607730373105278,0.0
2,0.0,always_0pct,always_0pct,0.1206675424612272,0.0
3,0.0,always_0pct,always_0pct,0.08589098732983703,0.0
4,0.0,always_0pct,always_0pct,0.11957875897583033,0.0
5,0.0,always_0pct,always_0pct,0.21196954970465107,0.0
6,0.0,always_0pct,always_0pct,0.11274834102262636,0.0
7,0.0,always_0pct,always_0pct,0.06832032254297206,0.0
8,0.0,always_0pct,always_0pct,0.09041430101201764,0.0
9,0.0,always_0pct,always_0pct,0.15901757892463672,0.0
summary,0.0,,,0.13339212036094503,0.0
