scenario_id,lambda_waste,mean_abs_financial_component,mean_abs_waste_penalty_component,waste_share_of_total_abs_reward,best_fixed_policy,fixed_policy_ranking,maximum_markdown_dominant,lambda_classification
core_002,0.1,0.231230275603743,0.0018565391648972592,0.00796501152045019,always_0pct,always_0pct|always_5pct|always_10pct|always_20pct|inventory_coverage_rule|always_40pct|expiry_threshold_rule,False,TOO_WEAK
core_002,0.25,0.231230275603743,0.004641347912243147,0.019677432338225206,always_0pct,always_0pct|always_5pct|always_10pct|always_20pct|inventory_coverage_rule|always_40pct|expiry_threshold_rule,False,TOO_WEAK
core_002,0.5,0.231230275603743,0.009282695824486294,0.03859540618272355,always_0pct,always_0pct|always_5pct|always_10pct|always_20pct|inventory_coverage_rule|always_40pct|expiry_threshold_rule,False,TOO_WEAK
core_002,1.0,0.231230275603743,0.018565391648972588,0.07432231252510149,always_0pct,always_0pct|always_5pct|always_10pct|always_20pct|inventory_coverage_rule|always_40pct|expiry_threshold_rule,False,TOO_WEAK
core_003,0.1,0.032613573209536936,0.028902246570909878,0.4698343722649476,always_5pct,always_5pct|always_0pct|always_40pct|expiry_threshold_rule|always_10pct|inventory_coverage_rule|always_20pct,False,TOO_DOMINANT
core_003,0.25,0.032613573209536936,0.07225561642727471,0.6890071018715227,always_5pct,always_5pct|always_40pct|expiry_threshold_rule|always_0pct|inventory_coverage_rule|always_10pct|always_20pct,False,TOO_DOMINANT
core_003,0.5,0.032613573209536936,0.14451123285454942,0.8158723561411445,always_40pct,always_40pct|expiry_threshold_rule|always_5pct|inventory_coverage_rule|always_0pct|always_10pct|always_20pct,True,TOO_DOMINANT
core_003,1.0,0.032613573209536936,0.28902246570909884,0.8986009984478537,always_40pct,always_40pct|expiry_threshold_rule|inventory_coverage_rule|always_5pct|always_0pct|always_20pct|always_10pct,True,TOO_DOMINANT
core_005,0.1,0.231230275603743,0.0018565391648972592,0.00796501152045019,always_0pct,always_0pct|always_5pct|always_10pct|always_20pct|inventory_coverage_rule|always_40pct|expiry_threshold_rule,False,TOO_WEAK
core_005,0.25,0.231230275603743,0.004641347912243147,0.019677432338225206,always_0pct,always_0pct|always_5pct|always_10pct|always_20pct|inventory_coverage_rule|always_40pct|expiry_threshold_rule,False,TOO_WEAK
core_005,0.5,0.231230275603743,0.009282695824486294,0.03859540618272355,always_0pct,always_0pct|always_5pct|always_10pct|always_20pct|inventory_coverage_rule|always_40pct|expiry_threshold_rule,False,TOO_WEAK
core_005,1.0,0.231230275603743,0.018565391648972588,0.07432231252510149,always_0pct,always_0pct|always_5pct|always_10pct|always_20pct|inventory_coverage_rule|always_40pct|expiry_threshold_rule,False,TOO_WEAK
core_006,0.1,0.032613573209536936,0.028902246570909878,0.4698343722649476,always_5pct,always_5pct|always_0pct|always_40pct|expiry_threshold_rule|always_10pct|inventory_coverage_rule|always_20pct,False,TOO_DOMINANT
core_006,0.25,0.032613573209536936,0.07225561642727471,0.6890071018715227,always_5pct,always_5pct|always_40pct|expiry_threshold_rule|always_0pct|inventory_coverage_rule|always_10pct|always_20pct,False,TOO_DOMINANT
core_006,0.5,0.032613573209536936,0.14451123285454942,0.8158723561411445,always_40pct,always_40pct|expiry_threshold_rule|always_5pct|inventory_coverage_rule|always_0pct|always_10pct|always_20pct,True,TOO_DOMINANT
core_006,1.0,0.032613573209536936,0.28902246570909884,0.8986009984478537,always_40pct,always_40pct|expiry_threshold_rule|inventory_coverage_rule|always_5pct|always_0pct|always_20pct|always_10pct,True,TOO_DOMINANT
core_009,0.1,0.2815638327356605,2.107745480805921e-06,7.485797029300471e-06,always_0pct,always_0pct|always_5pct|always_10pct|expiry_threshold_rule|always_20pct|inventory_coverage_rule|always_40pct,False,TOO_WEAK
core_009,0.25,0.2815638327356605,5.2693637020148025e-06,1.8714282436271383e-05,always_0pct,always_0pct|always_5pct|always_10pct|expiry_threshold_rule|always_20pct|inventory_coverage_rule|always_40pct,False,TOO_WEAK
core_009,0.5,0.2815638327356605,1.0538727404029605e-05,3.74278644369167e-05,always_0pct,always_0pct|always_5pct|always_10pct|expiry_threshold_rule|always_20pct|inventory_coverage_rule|always_40pct,False,TOO_WEAK
core_009,1.0,0.2815638327356605,2.107745480805921e-05,7.485292728861813e-05,always_0pct,always_0pct|always_5pct|always_10pct|expiry_threshold_rule|always_20pct|inventory_coverage_rule|always_40pct,False,TOO_WEAK
core_012,0.1,0.2815638327356605,2.107745480805921e-06,7.485797029300471e-06,always_0pct,always_0pct|always_5pct|always_10pct|expiry_threshold_rule|always_20pct|inventory_coverage_rule|always_40pct,False,TOO_WEAK
core_012,0.25,0.2815638327356605,5.2693637020148025e-06,1.8714282436271383e-05,always_0pct,always_0pct|always_5pct|always_10pct|expiry_threshold_rule|always_20pct|inventory_coverage_rule|always_40pct,False,TOO_WEAK
core_012,0.5,0.2815638327356605,1.0538727404029605e-05,3.74278644369167e-05,always_0pct,always_0pct|always_5pct|always_10pct|expiry_threshold_rule|always_20pct|inventory_coverage_rule|always_40pct,False,TOO_WEAK
core_012,1.0,0.2815638327356605,2.107745480805921e-05,7.485292728861813e-05,always_0pct,always_0pct|always_5pct|always_10pct|expiry_threshold_rule|always_20pct|inventory_coverage_rule|always_40pct,False,TOO_WEAK
