scenario_id,calibration_mode,financial_performance_max_policy,lowest_waste_policy,best_low_cost_waste_reduction_policy,constraint_policy_map,recommendation_changes_by_constraint,demand_calibration_changes_recommendation
core_002,observed_calibration,always_0pct,always_0pct,NO_POSITIVE_WASTE_REDUCTION,waste_rate_le_0.35=always_0pct; waste_rate_le_0.25=always_0pct; waste_rate_le_0.15=always_0pct; waste_rate_le_0.10=always_0pct; waste_rate_reduction_ge_0.05=NO_FEASIBLE_POLICY; waste_rate_reduction_ge_0.10=NO_FEASIBLE_POLICY; waste_rate_reduction_ge_0.20=NO_FEASIBLE_POLICY,True,True
core_002,recovered_calibration,always_0pct,inventory_coverage_rule,always_5pct,waste_rate_le_0.35=always_0pct; waste_rate_le_0.25=always_0pct; waste_rate_le_0.15=always_0pct; waste_rate_le_0.10=always_0pct; waste_rate_reduction_ge_0.05=always_20pct; waste_rate_reduction_ge_0.10=NO_FEASIBLE_POLICY; waste_rate_reduction_ge_0.20=NO_FEASIBLE_POLICY,True,True
core_003,observed_calibration,always_0pct,always_40pct,always_40pct,waste_rate_le_0.35=always_0pct; waste_rate_le_0.25=selected_recovered_financial_ppo; waste_rate_le_0.15=inventory_coverage_rule; waste_rate_le_0.10=always_40pct; waste_rate_reduction_ge_0.05=selected_recovered_financial_ppo; waste_rate_reduction_ge_0.10=inventory_coverage_rule; waste_rate_reduction_ge_0.20=always_40pct,True,True
core_003,recovered_calibration,always_5pct,always_40pct,always_5pct,waste_rate_le_0.35=selected_recovered_financial_ppo; waste_rate_le_0.25=always_40pct; waste_rate_le_0.15=always_40pct; waste_rate_le_0.10=NO_FEASIBLE_POLICY; waste_rate_reduction_ge_0.05=selected_recovered_financial_ppo; waste_rate_reduction_ge_0.10=always_40pct; waste_rate_reduction_ge_0.20=always_40pct,True,True
core_005,observed_calibration,always_0pct,always_0pct,NO_POSITIVE_WASTE_REDUCTION,waste_rate_le_0.35=always_0pct; waste_rate_le_0.25=always_0pct; waste_rate_le_0.15=always_0pct; waste_rate_le_0.10=always_0pct; waste_rate_reduction_ge_0.05=NO_FEASIBLE_POLICY; waste_rate_reduction_ge_0.10=NO_FEASIBLE_POLICY; waste_rate_reduction_ge_0.20=NO_FEASIBLE_POLICY,True,True
core_005,recovered_calibration,always_0pct,inventory_coverage_rule,always_5pct,waste_rate_le_0.35=always_0pct; waste_rate_le_0.25=always_0pct; waste_rate_le_0.15=always_0pct; waste_rate_le_0.10=always_0pct; waste_rate_reduction_ge_0.05=always_20pct; waste_rate_reduction_ge_0.10=NO_FEASIBLE_POLICY; waste_rate_reduction_ge_0.20=NO_FEASIBLE_POLICY,True,True
core_006,observed_calibration,always_0pct,always_40pct,always_40pct,waste_rate_le_0.35=always_0pct; waste_rate_le_0.25=selected_recovered_financial_ppo; waste_rate_le_0.15=inventory_coverage_rule; waste_rate_le_0.10=always_40pct; waste_rate_reduction_ge_0.05=selected_recovered_financial_ppo; waste_rate_reduction_ge_0.10=inventory_coverage_rule; waste_rate_reduction_ge_0.20=always_40pct,True,True
core_006,recovered_calibration,always_5pct,always_40pct,always_5pct,waste_rate_le_0.35=selected_recovered_financial_ppo; waste_rate_le_0.25=always_40pct; waste_rate_le_0.15=always_40pct; waste_rate_le_0.10=NO_FEASIBLE_POLICY; waste_rate_reduction_ge_0.05=selected_recovered_financial_ppo; waste_rate_reduction_ge_0.10=always_40pct; waste_rate_reduction_ge_0.20=always_40pct,True,True
core_009,observed_calibration,always_0pct,always_0pct,NO_POSITIVE_WASTE_REDUCTION,waste_rate_le_0.35=always_0pct; waste_rate_le_0.25=always_0pct; waste_rate_le_0.15=always_0pct; waste_rate_le_0.10=always_0pct; waste_rate_reduction_ge_0.05=NO_FEASIBLE_POLICY; waste_rate_reduction_ge_0.10=NO_FEASIBLE_POLICY; waste_rate_reduction_ge_0.20=NO_FEASIBLE_POLICY,True,True
core_009,recovered_calibration,always_0pct,always_5pct,always_5pct,waste_rate_le_0.35=always_0pct; waste_rate_le_0.25=always_0pct; waste_rate_le_0.15=always_0pct; waste_rate_le_0.10=always_0pct; waste_rate_reduction_ge_0.05=NO_FEASIBLE_POLICY; waste_rate_reduction_ge_0.10=NO_FEASIBLE_POLICY; waste_rate_reduction_ge_0.20=NO_FEASIBLE_POLICY,True,True
core_012,observed_calibration,always_0pct,always_0pct,NO_POSITIVE_WASTE_REDUCTION,waste_rate_le_0.35=always_0pct; waste_rate_le_0.25=always_0pct; waste_rate_le_0.15=always_0pct; waste_rate_le_0.10=always_0pct; waste_rate_reduction_ge_0.05=NO_FEASIBLE_POLICY; waste_rate_reduction_ge_0.10=NO_FEASIBLE_POLICY; waste_rate_reduction_ge_0.20=NO_FEASIBLE_POLICY,True,True
core_012,recovered_calibration,always_0pct,always_5pct,always_5pct,waste_rate_le_0.35=always_0pct; waste_rate_le_0.25=always_0pct; waste_rate_le_0.15=always_0pct; waste_rate_le_0.10=always_0pct; waste_rate_reduction_ge_0.05=NO_FEASIBLE_POLICY; waste_rate_reduction_ge_0.10=NO_FEASIBLE_POLICY; waste_rate_reduction_ge_0.20=NO_FEASIBLE_POLICY,True,True
