scenario_id,policy,episode_index,lambda_waste,expired_units_positive,waste_rate,penalty_formula_valid,penalty_negative_when_waste_occurs,sustainability_differs_from_financial,episode_return_identity_ok,reward_signal_status
core_002,always_0pct,1,0.1,True,0.15538304029721214,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_002,always_0pct,1,0.25,True,0.15538304029721214,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_002,always_0pct,1,0.5,True,0.15538304029721214,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_002,always_0pct,1,1.0,True,0.15538304029721214,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_002,expiry_threshold_rule,0,0.1,False,0.0,True,False,False,True,NO_WASTE_SIGNAL
core_002,expiry_threshold_rule,0,0.25,False,0.0,True,False,False,True,NO_WASTE_SIGNAL
core_002,expiry_threshold_rule,0,0.5,False,0.0,True,False,False,True,NO_WASTE_SIGNAL
core_002,expiry_threshold_rule,0,1.0,False,0.0,True,False,False,True,NO_WASTE_SIGNAL
core_002,always_20pct,1,0.1,True,0.022949825854574984,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_002,always_20pct,1,0.25,True,0.022949825854574984,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_002,always_20pct,1,0.5,True,0.022949825854574984,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_002,always_20pct,1,1.0,True,0.022949825854574984,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_003,always_0pct,1,0.1,True,0.5735231694737118,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_003,always_0pct,1,0.25,True,0.5735231694737118,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_003,always_0pct,1,0.5,True,0.5735231694737118,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_003,always_0pct,1,1.0,True,0.5735231694737118,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_003,expiry_threshold_rule,1,0.1,True,0.17656037146929135,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_003,expiry_threshold_rule,1,0.25,True,0.17656037146929135,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_003,expiry_threshold_rule,1,0.5,True,0.17656037146929135,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_003,expiry_threshold_rule,1,1.0,True,0.17656037146929135,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_003,always_20pct,1,0.1,True,0.5028766896751266,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_003,always_20pct,1,0.25,True,0.5028766896751266,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_003,always_20pct,1,0.5,True,0.5028766896751266,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_003,always_20pct,1,1.0,True,0.5028766896751266,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_005,always_0pct,1,0.1,True,0.15538304029721214,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_005,always_0pct,1,0.25,True,0.15538304029721214,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_005,always_0pct,1,0.5,True,0.15538304029721214,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_005,always_0pct,1,1.0,True,0.15538304029721214,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_005,expiry_threshold_rule,0,0.1,False,0.0,True,False,False,True,NO_WASTE_SIGNAL
core_005,expiry_threshold_rule,0,0.25,False,0.0,True,False,False,True,NO_WASTE_SIGNAL
core_005,expiry_threshold_rule,0,0.5,False,0.0,True,False,False,True,NO_WASTE_SIGNAL
core_005,expiry_threshold_rule,0,1.0,False,0.0,True,False,False,True,NO_WASTE_SIGNAL
core_005,always_20pct,1,0.1,True,0.022949825854574984,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_005,always_20pct,1,0.25,True,0.022949825854574984,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_005,always_20pct,1,0.5,True,0.022949825854574984,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_005,always_20pct,1,1.0,True,0.022949825854574984,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_006,always_0pct,1,0.1,True,0.5735231694737118,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_006,always_0pct,1,0.25,True,0.5735231694737118,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_006,always_0pct,1,0.5,True,0.5735231694737118,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_006,always_0pct,1,1.0,True,0.5735231694737118,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_006,expiry_threshold_rule,1,0.1,True,0.17656037146929135,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_006,expiry_threshold_rule,1,0.25,True,0.17656037146929135,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_006,expiry_threshold_rule,1,0.5,True,0.17656037146929135,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_006,expiry_threshold_rule,1,1.0,True,0.17656037146929135,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_006,always_20pct,1,0.1,True,0.5028766896751266,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_006,always_20pct,1,0.25,True,0.5028766896751266,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_006,always_20pct,1,0.5,True,0.5028766896751266,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
core_006,always_20pct,1,1.0,True,0.5028766896751266,True,True,True,True,SUSTAINABILITY_SIGNAL_VALID
