scenario_id,grid_type,shelf_life_class,inventory_coverage,age_profile,margin_scenario,disposal_scenario,demand_target,response_model,lambda_waste,scenarios_audited_source,always_zero_waste_rate,minimum_waste_rate,maximum_waste_rate,maximum_waste_reduction_vs_always_zero,profit_loss_at_maximum_waste_reduction,non_dominated_policy_count,profit_waste_correlation,policy_ranking_changes_between_profit_and_waste,classification,note
core_001,core,short_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1,core_grid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,NO_WASTE_OPPORTUNITY,
core_002,core,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1,core_grid,0.05354161935386282,0.0,0.05354161935386282,0.05354161935386282,0.19512309616922502,4.0,0.8308730294176107,True,MEANINGFUL_PROFIT_WASTE_TRADEOFF,
core_003,core,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1,core_grid,0.39932876103795656,0.12906958848670758,0.39932876103795656,0.270259172551249,0.06460003342650558,3.0,0.5777863738385013,True,MEANINGFUL_PROFIT_WASTE_TRADEOFF,
core_004,core,short_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1,core_grid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,NO_WASTE_OPPORTUNITY,
core_005,core,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1,core_grid,0.05354161935386282,0.0,0.05354161935386282,0.05354161935386282,0.19512309616922502,4.0,0.8308730294176107,True,MEANINGFUL_PROFIT_WASTE_TRADEOFF,
core_006,core,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1,core_grid,0.39932876103795656,0.12906958848670758,0.39932876103795656,0.270259172551249,0.06460003342650558,3.0,0.5777863738385013,True,MEANINGFUL_PROFIT_WASTE_TRADEOFF,
core_007,core,medium_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1,core_grid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,NO_WASTE_OPPORTUNITY,
core_008,core,medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1,core_grid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,NO_WASTE_OPPORTUNITY,
core_009,core,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1,core_grid,0.00014754218365641448,0.0,0.00014754218365641448,0.00014754218365641448,0.04984508070716087,2.0,0.547271390656651,True,MEANINGFUL_PROFIT_WASTE_TRADEOFF,
core_010,core,medium_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1,core_grid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,NO_WASTE_OPPORTUNITY,
core_011,core,medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1,core_grid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,NO_WASTE_OPPORTUNITY,
core_012,core,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1,core_grid,0.00014754218365641448,0.0,0.00014754218365641448,0.00014754218365641448,0.04984508070716087,2.0,0.547271390656651,True,MEANINGFUL_PROFIT_WASTE_TRADEOFF,
core_013,core,long_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1,core_grid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,NO_WASTE_OPPORTUNITY,
core_014,core,long_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1,core_grid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,NO_WASTE_OPPORTUNITY,
core_015,core,long_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1,core_grid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,NO_WASTE_OPPORTUNITY,
core_016,core,long_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1,core_grid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,NO_WASTE_OPPORTUNITY,
core_017,core,long_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1,core_grid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,NO_WASTE_OPPORTUNITY,
core_018,core,long_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1,core_grid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,NO_WASTE_OPPORTUNITY,
sensitivity_001,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,low_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_002,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,low_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_003,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,low_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_004,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,medium_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_005,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_006,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,medium_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_007,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,high_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_008,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,high_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_009,sensitivity,medium_shelf_life,balanced_inventory,fresh_heavy,high_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_010,sensitivity,medium_shelf_life,balanced_inventory,uniform,low_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_011,sensitivity,medium_shelf_life,balanced_inventory,uniform,low_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_012,sensitivity,medium_shelf_life,balanced_inventory,uniform,low_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_013,sensitivity,medium_shelf_life,balanced_inventory,uniform,medium_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_014,sensitivity,medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_015,sensitivity,medium_shelf_life,balanced_inventory,uniform,medium_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_016,sensitivity,medium_shelf_life,balanced_inventory,uniform,high_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_017,sensitivity,medium_shelf_life,balanced_inventory,uniform,high_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_018,sensitivity,medium_shelf_life,balanced_inventory,uniform,high_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_019,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,low_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_020,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,low_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_021,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,low_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_022,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,medium_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_023,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_024,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,medium_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
