scenario_id,calibration_mode,maximum_waste_rate_reduction,normalized_profit_sacrifice_at_max_reduction,non_dominated_policy_count,strong_waste_reduction_feasible,tradeoff_classification
core_002,observed_calibration,0.0,0.0,1,False,NO_FEASIBLE_STRONG_WASTE_REDUCTION
core_002,recovered_calibration,0.05354161935386282,0.19512309616922502,6,False,NO_FEASIBLE_STRONG_WASTE_REDUCTION
core_003,observed_calibration,0.27839715720572716,0.10768298493398658,3,True,MODERATE_PROFIT_WASTE_TRADEOFF
core_003,recovered_calibration,0.270259172551249,0.06460003342650558,2,True,MODERATE_PROFIT_WASTE_TRADEOFF
core_005,observed_calibration,0.0,0.0,1,False,NO_FEASIBLE_STRONG_WASTE_REDUCTION
core_005,recovered_calibration,0.05354161935386282,0.19512309616922502,6,False,NO_FEASIBLE_STRONG_WASTE_REDUCTION
core_006,observed_calibration,0.27839715720572716,0.10768298493398658,3,True,MODERATE_PROFIT_WASTE_TRADEOFF
core_006,recovered_calibration,0.270259172551249,0.06460003342650558,2,True,MODERATE_PROFIT_WASTE_TRADEOFF
core_009,observed_calibration,0.0,0.0,1,False,NO_FEASIBLE_STRONG_WASTE_REDUCTION
core_009,recovered_calibration,0.00014754218365641448,0.04984508070716087,2,False,NO_FEASIBLE_STRONG_WASTE_REDUCTION
core_012,observed_calibration,0.0,0.0,1,False,NO_FEASIBLE_STRONG_WASTE_REDUCTION
core_012,recovered_calibration,0.00014754218365641448,0.04984508070716087,2,False,NO_FEASIBLE_STRONG_WASTE_REDUCTION
