file,purpose,data_source,current_status,whether_correct,whether_duplicated,whether_used_in_report,whether_used_in_presentation,whether_understandable_without_reading_source_code,recommendation,notes
archive/intermediate_tables/discount_response_action_ranking.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/discount_response_bias_transmission_summary.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/discount_response_by_product.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/discount_response_by_store.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/discount_response_comparison_by_segment.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/discount_response_confounding_audit.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/discount_response_correlations.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/discount_response_curves.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/discount_response_descriptive_summary.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/discount_response_implied_sensitivity.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/discount_response_markdown_support.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/discount_response_model_metrics.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/discount_response_robustness.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE, Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/discount_response_segment_metrics.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/discount_response_support_audit.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/discount_response_target_comparison.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/dqn_canonical_candidate_selection.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE,Too wide for report; use summarized docs. Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/dqn_checkpoint_evaluation_all_seeds.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE,Too wide for report; use summarized docs. Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/dqn_checkpoint_state_actions.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/dqn_checkpoint_validation_episode_results.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE, Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/dqn_checkpoint_validation_summary.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE,Too wide for report; use summarized docs. Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/dqn_clustered_validation_inference.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/dqn_environment_compatibility_audit.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/dqn_episode_mean_gain_across_seeds.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/dqn_equal_weight_ensemble_state_actions.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/dqn_final_candidate_comparison.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE,Too wide for report; use summarized docs. Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/dqn_pooled_inference_audit.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE, Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/dqn_pooled_validation_results.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/dqn_seed_by_episode_profit_differences.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/dqn_seed_stability.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/dqn_training_population_audit.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE, Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/dqn_validation_summary.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE,Too wide for report; use summarized docs. Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/dqn_worst_episode_diagnostics.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE, Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/final_candidate_paired_episode_results.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/final_candidate_seed_stability.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE, Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/final_dqn_ensemble_test_episode_results.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE, Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/final_dqn_ensemble_test_pairing_audit.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/final_dqn_ensemble_test_population_audit.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE, Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/final_dqn_ensemble_test_state_actions.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/final_figure_artifact_inventory.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE, Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/final_method_comparison.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE, Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/final_ppo_training_curve_data.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE, Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/final_report_figure_selection.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/final_task_dynamic_value_existing_policy_audit.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/final_task_dynamic_value_planning_audit.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/final_task_locked_baselines.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/final_task_locked_population_definition.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE, Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/final_task_phase_gate_decision.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/final_task_population_candidates.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE, Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/final_task_population_summary.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/final_test_baseline_ladder_episode_results.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/final_test_baseline_ladder_state_actions.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/final_test_baseline_pairwise_comparisons.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/final_test_model_vs_baseline_matrix.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/final_training_and_result_figures_report.json,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/financial_markdown_multistep_action_values.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE,Too wide for report; use summarized docs. Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/financial_markdown_opportunity_classification.csv,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/financial_markdown_opportunity_report.json,supporting or archived table/config,generated project output,archived,YES,NO,NO,NO,PARTIAL,ARCHIVE,
archive/intermediate_tables/financial_markdown_oracle_diagnostic.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE, Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/financial_markdown_ppo_regret.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE,Too wide for report; use summarized docs. Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/financial_markdown_representative_states.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE, Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/financial_markdown_state_audit.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE,Too wide for report; use summarized docs. Contains blanks/missing values; acceptable for some supporting artifacts.
archive/intermediate_tables/freshretail_column_mapping.csv,supporting or archived table/config,generated project output,archived,REVIEW,NO,NO,NO,PARTIAL,ARCHIVE, Contains blanks/missing values; acceptable for some supporting artifacts.
